Site;Context;Horizon;Number of sherds;Decor 1;Decor 2;Decor 3;Decor 4;Decor5;Decor6;;;;;;;;;;;;;;;
TOG2;50;;1;rso;ch;cr2;;;;;;;;;;;;;;;;;;
TOG2;50;;1;cr2;rso;ch;si4;;;;;;;;;;;;;;;;;
TOG2;50;;1;RSO;ch;VPR;;;;;;;;;;;;;;;;;;
TOG2;50;;1;cr4;rso int;plain;;;;;;;;;;;;;;;;;;
TOG2;50;;1;cr4;vpr;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;vpr;si4;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;RSO;ch;cr2;;;;;;;;;;;;;;;;;;
TOG2;50;;1;erod;;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;cr6;si1;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;cr;;;;;;;;;;;;;;;;;;;;
TOG2;50;;22;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;50;;3;vpr;;;;;;;;;;;;;;;;;;;;
TOG2;50;;3;rso;;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;erod;;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;si4;p-r;p-w;vpr;;;;;;;;;;;;;;;;;
TOG2;50;;2;cr2;p-r;si4;;;;;;;;;;;;;;;;;;
TOG2;50;;1;cr4;p-r-int;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;plain;VPR;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;vpr;ch;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;rso;rso int;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;rso;ch;cr2;;;;;;;;;;;;;;;;;;
TOG2;50;;1;rough;cr4;;;;;;;;;;;;;;;;;;;
TOG2;50;;1;erod;rso;;;;;;;;;;;;;;;;;;;
TOG2;32 concentration;;2;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;32 concentration;;1;erod;;;;;;;;;;;;;;;;;;;;
TOG2;42 concentration;;10;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;42 concentration;;2;vpr;;;;;;;;;;;;;;;;;;;;
TOG2;42 concentration;;1;rso;;;;;;;;;;;;;;;;;;;;
TOG2;42 concentration;;5;cr6;;;;;;;;;;;;;;;;;;;;
TOG2;42 concentration;;6;rough;;;;;;;;;;;;;;;;;;;;
TOG2;42 concentration;;1;erod;;;;;;;;;;;;;;;;;;;;
TOG2;42 concentration;;1;vpr;cr4;finger line;;;;;;;;;;;;;;;;;;
TOG2;42 concentration;;2;rso;ch;;;;;;;;;;;;;;;;;;;
TOG2;42 concentration;;1;cr4;vpr;;;;;;;;;;;;;;;;;;;
TOG2;42 concentration;;1;cr4;plain;;;;;;;;;;;;;;;;;;;
TOG2;50 concentration;;9;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;50 concentration;;2;cr2;;;;;;;;;;;;;;;;;;;;
TOG2;A1;;4;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A1;;33;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A1;;2;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A1;;3;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A1;;1;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A1;;4;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A1;;1;CR4;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A1;;1;P-R;MCH;CR4;;;;;;;;;;;;;;;;;;
TOG2;A1;;1;PLAIN;CH;CR;;;;;;;;;;;;;;;;;;
TOG2;A10;;43;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A10;;15;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A10;;14;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A10;;2;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A10;;3;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A10;;4;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A10;;3;RSO;MCH;;;;;;;;;;;;;;;;;;;
TOG2;A10;;1;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;A10;;1;RSO;CH;CR6;;;;;;;;;;;;;;;;;;
TOG2;A10;;1;RSO;CH;VPR;;;;;;;;;;;;;;;;;;
TOG2;A10;;1;RSO;CH;CR4;;;;;;;;;;;;;;;;;;
TOG2;A10;;1;CR2;SI4;CR4;;;;;;;;;;;;;;;;;;
TOG2;A10;;1;VPR;P-R;P-B;SI4;;;;;;;;;;;;;;;;;
TOG2;A10;;2;CR4;SI4;P-B;;;;;;;;;;;;;;;;;;
TOG2;A10;;1;CR4;CR2;SI4;P-B;;;;;;;;;;;;;;;;;
TOG2;A10;;1;CR4;VPR;CH;;;;;;;;;;;;;;;;;;
TOG2;A10;;1;CR4;P-B;;;;;;;;;;;;;;;;;;;
TOG2;A10;;1;VPR;P-B;;;;;;;;;;;;;;;;;;;
TOG2;A10;;1;CR8;P-B;MCH;;;;;;;;;;;;;;;;;;
TOG2;A10;;1;RSO;CH;CR4;;;;;;;;;;;;;;;;;;
TOG2;A10;;2;CR4;CH;;;;;;;;;;;;;;;;;;;
TOG2;A11;;52;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A11;;5;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A11;;4;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A11;;3;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A11;;6;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A11;;5;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A11;;5;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;A11;;2;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A11;;4;CR4;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A11;;1;VPR;SI4;P-R;;;;;;;;;;;;;;;;;;
TOG2;A11;;2;CR2;MCH;P-R;;;;;;;;;;;;;;;;;;
TOG2;A11;;1;RSO;CH;;;;;;;;;;;;;;;;;;;
TOG2;A11;;1;CR2;P-R;P-B-L;;;;;;;;;;;;;;;;;;
TOG2;A11 DEPOTOIR;;3;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A11 DEPOTOIR;;1;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A11 DEPOTOIR;;2;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A11 DEPOTOIR;;5;BURNISHED;;;;;;;;;;;;;;;;;;;;
TOG2;A11 DEPOTOIR;;5;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A11 DEPOTOIR;;18;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A11 DEPOTOIR;;1;CH;RSO;CR2;;;;;;;;;;;;;;;;;;
TOG2;A11 DEPOTOIR;;1;VPR;P-R;SI4;;;;;;;;;;;;;;;;;;
TOG2;A13;;132;CR4;;;;;;;;;;;;;;;;;;;;
